Source,Target,Type,Id,Label,Weight,background_map_edge
118,201,Directed,0,,0.1804,
118,258,Directed,1,,0.1474,
118,182,Directed,2,,0.0332,
118,152,Directed,3,,0.0416,
118,162,Directed,4,,0.0676,
47,118,Directed,5,,0.1828,
118,144,Directed,6,,0.1231,
118,263,Directed,7,,0.1733,
118,301,Directed,8,,0.1366,
118,221,Directed,9,,0.0745,
118,321,Directed,10,,0.251,
118,203,Directed,11,,0.1788,
65,118,Directed,12,,0.18,
118,306,Directed,13,,0.1514,
118,297,Directed,14,,0.1305,
118,253,Directed,15,,0.172,
118,183,Directed,16,,0.1744,
118,307,Directed,17,,0.1508,
118,169,Directed,18,,0.164,
118,216,Directed,19,,0.0686,
118,212,Directed,20,,0.0769,
118,274,Directed,21,,0.1504,
92,118,Directed,22,,0.0611,
68,118,Directed,23,,0.1008,
91,118,Directed,24,,0.0532,
118,125,Directed,25,,0.0839,
118,189,Directed,26,,0.0379,
118,305,Directed,27,,0.1419,
118,202,Directed,28,,0.0688,
118,222,Directed,29,,0.0622,
80,118,Directed,30,,0.091,
118,273,Directed,31,,0.1001,
118,250,Directed,32,,0.1652,
118,126,Directed,33,,0.0085,
118,204,Directed,34,,0.06,
118,127,Directed,35,,0.0212,
118,186,Directed,36,,0.0471,
118,148,Directed,37,,0.0155,
118,129,Directed,38,,0.0704,
76,118,Directed,39,,0.0797,
78,118,Directed,40,,0.0298,
118,163,Directed,41,,0.0223,
70,118,Directed,42,,0.0289,
114,118,Directed,43,,0.0065,
77,118,Directed,44,,0.0195,
118,261,Directed,45,,0.0985,
248,261,Directed,46,,0.1093,
201,261,Directed,47,,0.1367,
150,261,Directed,48,,0.1396,
261,311,Directed,49,,0.109,
146,261,Directed,50,,0.14,
147,261,Directed,51,,0.1383,
258,261,Directed,52,,0.0765,
112,261,Directed,53,,0.1131,
261,313,Directed,54,,0.3292,
182,261,Directed,55,,0.0655,
67,261,Directed,56,,0.1162,
219,261,Directed,57,,0.0972,
261,299,Directed,58,,0.0907,
152,261,Directed,59,,0.1122,
261,293,Directed,60,,0.0291,
162,261,Directed,61,,0.1295,
47,261,Directed,62,,0.1894,
144,261,Directed,63,,0.1071,
261,263,Directed,64,,0.1026,
261,301,Directed,65,,0.0876,
177,261,Directed,66,,0.1152,
221,261,Directed,67,,0.0972,
261,310,Directed,68,,0.1079,
232,261,Directed,69,,0.0414,
261,321,Directed,70,,0.2098,
261,296,Directed,71,,0.0323,
123,261,Directed,72,,0.0973,
172,261,Directed,73,,0.0623,
261,292,Directed,74,,0.0442,
203,261,Directed,75,,0.1338,
65,261,Directed,76,,0.1779,
167,261,Directed,77,,0.0851,
261,306,Directed,78,,0.1047,
197,261,Directed,79,,0.1363,
261,297,Directed,80,,0.0329,
246,261,Directed,81,,0.1053,
253,261,Directed,82,,0.1064,
94,261,Directed,83,,0.1068,
183,261,Directed,84,,0.1369,
261,307,Directed,85,,0.0987,
261,276,Directed,86,,0.0487,
225,261,Directed,87,,0.0241,
169,261,Directed,88,,0.1319,
216,261,Directed,89,,0.0321,
261,284,Directed,90,,0.0815,
212,261,Directed,91,,0.1128,
261,274,Directed,92,,0.0712,
189,261,Directed,93,,0.0765,
133,261,Directed,94,,0.0806,
239,261,Directed,95,,0.0302,
202,261,Directed,96,,0.1097,
218,261,Directed,97,,0.0923,
128,261,Directed,98,,0.0844,
251,261,Directed,99,,0.1079,
254,261,Directed,100,,0.0255,
261,275,Directed,101,,0.0278,
198,261,Directed,102,,0.0455,
222,261,Directed,103,,0.072,
261,308,Directed,104,,0.0638,
261,273,Directed,105,,0.0809,
240,261,Directed,106,,0.0549,
213,261,Directed,107,,0.1213,
250,261,Directed,108,,0.0996,
261,286,Directed,109,,0.0553,
261,271,Directed,110,,0.0358,
261,281,Directed,111,,0.0495,
261,267,Directed,112,,0.0169,
242,261,Directed,113,,0.117,
261,309,Directed,114,,0.0645,
206,261,Directed,115,,0.0456,
81,261,Directed,116,,0.1239,
220,261,Directed,117,,0.0331,
261,290,Directed,118,,0.0363,
261,266,Directed,119,,0.0257,
226,261,Directed,120,,0.0271,
261,270,Directed,121,,0.0097,
142,261,Directed,122,,0.1219,
241,261,Directed,123,,0.0175,
261,278,Directed,124,,0.028,
261,279,Directed,125,,0.0229,
261,291,Directed,126,,0.0328,
247,261,Directed,127,,0.0128,
261,304,Directed,128,,0.0526,
184,261,Directed,129,,0.0738,
261,280,Directed,130,,0.0176,
153,261,Directed,131,,0.0892,
257,261,Directed,132,,0.0164,
261,269,Directed,133,,0.0127,
168,261,Directed,134,,0.0818,
118,255,Directed,135,,0.0815,
255,261,Directed,136,,0.0646,
248,255,Directed,137,,0.173,
201,255,Directed,138,,0.1969,
150,255,Directed,139,,0.086,
166,255,Directed,140,,0.1195,
255,311,Directed,141,,0.0779,
146,255,Directed,142,,0.0868,
109,255,Directed,143,,0.1078,
147,255,Directed,144,,0.0852,
