Source,Target,Id,AirportName,NumArrivingFlights,NumDepartingFlights,Population,Label
67,166,261,Dallas/Fort Worth Intl,0,2,3860000,
66,116,255,The William B Hartsfield Atlan,0,2,3064000,
67,179,293,Houston Intercontinental,0,1,3543000,
67,255,258,Phoenix Sky Harbor Intl,0,0,2625000,
65,67,230,Charlotte/Douglas Intl,0,2,659000,
67,131,299,Orlando Intl,0,0,1076000,
53,166,182,Lambert-St Louis Intl,0,0,2041000,
65,75,248,Los Angeles Intl,0,0,11526000,
67,128,311,Miami Intl,0,0,4630000,
47,261,118,Chicago O'hare Intl,0,2,8033000,
47,246,152,Pittsburgh Intll,0,1,1732000,
48,65,166,Stapleton Intl,0,4,1844000,
57,118,201,San Francisco Intl,0,0,3151000,
67,123,301,Tampa Intl,0,1,1958000,
67,95,310,Fort Lauderdale/Hollywood Intl,0,1,152436,
67,146,263,San Diego Intl-Lindbergh Fld,0,0,1197000,
62,63,219,Mc Carran Intl,0,0,1104000,
50,61,176,Cincinnati/Northern Kentucky I,0,2,459189,
63,67,221,Raleigh-Durham Intll,0,0,255857,
67,94,307,Southwest Florida Intl,0,1,45648,
47,177,144,Salt Lake City Intl,0,2,171588,
62,67,217,Nashville Intll,0,0,696000,
65,293,232,Memphis Intl,0,1,612419,
67,230,292,New Orleans Intl/Moisant Fld/,0,0,469053,
50,63,174,Baltimore-Washington Intl,0,0,1195877,
47,54,162,Philadelphia Intl,0,1,1452000,
51,166,177,Washington Dulles Intl,0,1,538273,
51,67,179,Washington National,0,1,538273,
67,119,306,Palm Beach Intl,0,0,9672,
67,176,296,William P Hobby,0,0,1807000,
47,131,147,Newark Intl,0,0,7649952,
67,310,297,San Antonio Intl,0,0,1119000,
46,63,112,Detroit Metropolitan Wayne Cou,0,0,975477,
48,49,167,Indianapolis Intl,0,0,743793,
65,87,253,John Wayne Airport-Orange Coun,0,0,2606000,
68,118,321,Luis Munoz Marin Intl,0,0,2456000,
67,233,305,Sarasota/Bradenton Intl,0,0,98237,
50,67,172,Kansas City Intl,0,0,577418,
47,58,161,James M Cox Dayton Intl,0,0,172139,
67,90,313,Honolulu Intl,0,0,694000,
65,245,246,Ontario Intl,0,2,144514,
67,274,284,Jacksonville Intl,0,0,840000,
29,33,67,Minneapolis-St Paul Intl/Wold-,22,6,613637,
47,232,146,La Guardia,0,1,7383000,
60,65,212,Norfolk Intl,0,0,235518,
67,78,288,Robert Mueller Muni,0,0,567173,
47,65,150,John F Kennedy Intl,0,1,7383000,
58,83,203,San Jose Intll,0,0,851528,
67,301,276,El Paso Intl,0,0,599890,
67,162,273,Savannah Intll,0,0,133294,
57,70,202,Richmond Intll,0,0,190757,
67,144,274,Tucson Intl,0,1,458706,
26,31,65,Portland Intl,9,3,1457000,
65,176,233,Albuquerque Intl,0,1,420907,
54,58,189,Louisville Intl,0,0,832000,
62,144,218,Piedmont Triad Intll,0,0,197733,
65,246,245,Burbank-Glendale-Pasadena,0,1,414479,
47,152,131,Cleveland-Hopkins Intl,0,2,516743,
47,59,159,Port Columbus Intl,0,0,668808,
66,87,256,Birmingham Intl,0,0,252516,
65,142,250,Palm Springs Regional,0,0,43133,
53,67,183,Sacramento Metropolitan,0,0,402343,
60,64,213,Fresno Air Terminal,0,0,397585,
67,150,260,Charleston Afb/Intl,0,0,85465,
12,13,47,Seattle-Tacoma Intl,12,0,709807,
45,142,109,General Edward Lawrence Logan,0,1,555860,
56,58,197,Metropolitan Oakland Intl,0,0,366244,
67,307,283,"Baton Rouge Metropolitan, Ryan",0,0,214825,
68,109,322,Cyril E King,0,0,51000,
68,80,325,Alexander Hamilton,0,0,50000,
4,8,8,Anchorage Intl,0,1,249571,
47,255,119,Bradley Intl,0,1,278278,
47,230,142,Elko Muni-J.C. Harris Field,0,2,20361,
62,166,216,Tulsa Intl,0,0,379275,
6,13,13,Bethel,0,2,6140,
65,261,225,Will Rogers World,0,0,468197,
